_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
7544,,3,11,,3,4,03/05/2019,3,3,3,3,,5,3,4,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154590,68,3,25  ROSSEAU RD ,3,3,6,4,1954,
7545,4,3,31,4,5,4,03/13/2019,4,4,4,4,,5,4,4,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154593,82,4,3888  BATHURST ST ,4,3,6,5,1958,2017
7546,,3,11,,3,3,03/05/2019,3,3,4,3,,5,3,3,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154597,66,3,26  ROSSEAU RD ,3,3,6,4,1949,2017
7547,,3,11,,4,4,03/06/2019,4,4,5,4,,5,4,5,5,5,16,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154599,88,3,8  ROSSEAU RD ,4,5,6,5,1957,2017
7548,4,9,130,3,4,4,11/07/2019,3,4,4,4,4,5,3,3,4,4,20,4,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154607,76,5,4266  BATHURST ST ,4,4,6,3,1983,2017
7549,2,3,11,,3,2,12/09/2019,1,2,2,3,,5,2,2,3,2,15,,,PRIVATE,Building Audit,4154973,48,3,8  PINEWOOD AVE ,2,,12,2,1925,
7550,,4,29,,3,2,11/28/2019,3,3,3,3,,5,3,2,4,3,14,,,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4154974,61,4,175  VAUGHAN RD ,2,,12,3,1929,2017
7551,5,6,42,4,3,4,02/25/2019,4,4,4,2,,5,4,4,5,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154977,80,4,197  VAUGHAN RD ,4,,12,4,1955,2017
7552,,4,24,,4,3,11/28/2019,3,4,4,5,,5,5,3,4,,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154989,77,4,235  VAUGHAN RD ,3,,12,3,1934,2017
7553,,3,33,,4,4,11/27/2019,4,4,4,5,,5,4,4,4,3,15,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154996,81,5,261  VAUGHAN RD ,4,,12,4,1940,2017
7554,,5,72,5,4,4,03/07/2019,4,4,3,4,,5,4,5,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154999,86,5,1654  BATHURST ST ,5,5,12,4,1950,2017
7555,,4,39,,4,4,11/27/2019,4,4,4,4,,5,3,5,4,5,15,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155000,84,4,1652  BATHURST ST ,4,,12,5,1950,2017
7556,,3,37,,3,3,03/25/2019,4,4,4,3,,5,3,3,2,4,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155500,69,4,2521  LAKE SHORE BLVD W,3,,3,3,1952,2017
7557,,3,11,,3,3,03/14/2019,3,3,4,3,,3,3,3,3,,13,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155514,62,,8  LAKE SHORE DR ,3,,3,3,1960,2017
7558,5,10,117,4,5,5,11/20/2019,4,4,4,4,3,4,3,3,4,5,19,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4152586,80,5,2570  KINGSTON RD ,4,4,20,4,1968,2017
7559,5,15,378,4,3,4,01/03/2018,4,3,4,3,3,4,4,4,4,3,19,5,3,TCHC,Evaluation needs to be conducted in 2 years,4152829,77,5,50  TUXEDO CRT ,4,,24,4,1971,2017
7560,5,13,165,4,4,3,11/27/2019,3,4,4,4,4,5,4,3,3,4,19,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152833,75,3,750  MORNINGSIDE AVE ,3,,24,4,1973,2017
7561,5,3,12,,3,3,02/08/2019,3,3,3,3,,5,3,4,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154313,70,5,2605  KEELE ST ,3,,5,3,1950,2017
7562,3,3,29,,4,3,03/07/2019,3,3,3,3,,5,2,3,3,3,16,,4,PRIVATE,Evaluation needs to be conducted in 1 year,4154326,65,3,1607  JANE ST ,3,,5,4,1960,2017
7563,2,3,30,3,3,3,11/06/2019,2,3,4,3,,5,3,4,4,3,17,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154327,65,4,1724  LAWRENCE AVE W,3,,5,3,1959,2017
7564,4,4,70,4,4,4,03/11/2019,4,5,5,5,4,5,5,5,5,4,19,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154329,89,5,1750  LAWRENCE AVE W,4,,5,5,1979,2017
7565,3,15,102,4,4,4,03/11/2019,4,5,3,4,3,4,4,4,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154330,78,4,1747-1755  JANE ST ,3,,5,5,1971,2017
7566,5,17,198,5,4,4,03/11/2019,4,4,4,3,3,4,4,3,5,4,18,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154333,81,5,1855  JANE ST ,4,,5,5,1970,2017
7567,,3,12,,2,4,03/12/2019,3,4,4,4,,5,3,4,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154337,71,5,2548  KEELE ST ,4,3,5,3,1955,2017
7568,,3,26,,3,3,01/03/2019,3,3,3,5,,5,4,3,3,3,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155186,72,5,38  LAMBTON AVE ,3,,5,4,1958,2017
7569,,4,53,,3,3,12/19/2018,4,4,3,4,,5,4,4,4,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155193,74,3,80  GUESTVILLE AVE ,4,3,5,4,1958,2017
7570,3,16,140,4,3,3,11/06/2019,4,3,3,3,4,5,3,3,4,3,19,4,2,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155194,71,5,3561  EGLINTON AVE W,4,,5,4,1986,2017
7571,4,12,275,4,4,3,12/13/2018,4,3,3,3,4,4,4,4,4,4,19,3,3,TCHC,Evaluation needs to be conducted in 2 years,4155196,74,4,55  OUTLOOK AVE ,4,,5,4,1979,2017
7572,,4,21,,4,3,12/18/2018,3,5,5,3,,5,3,3,3,3,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155210,72,4,2688  BLOOR ST W,4,,3,3,1949,2017
7573,,4,40,,4,3,03/20/2019,3,4,4,4,,5,3,4,3,4,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155212,72,4,2692-2694  BLOOR ST W,3,,3,3,1949,2017
7574,3,5,24,4,3,4,10/30/2019,3,4,4,4,,5,3,4,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155216,76,5,765  BROWNS LINE ,3,,3,4,1962,2017
7575,5,3,25,,4,4,10/30/2019,4,4,3,4,,5,4,4,3,4,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155220,80,5,618  EVANS AVE ,4,4,3,4,1967,2017
7576,5,17,201,4,5,5,11/20/2019,4,4,4,4,4,5,4,4,3,4,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152588,85,5,2550  KINGSTON RD ,5,4,20,4,1967,2017
7577,3,10,194,3,3,3,01/02/2018,4,3,3,3,3,5,4,3,4,3,19,4,3,TCHC,Evaluation needs to be conducted in 2 years,4152590,66,3,3330  DANFORTH AVE ,3,,20,3,1978,2017
7578,3,22,238,3,4,4,03/01/2019,4,4,4,4,4,5,4,3,4,4,19,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152593,77,4,30  BURN HILL RD ,4,,20,4,1982,2017
7579,4,6,52,4,4,4,12/04/2019,4,5,5,4,,5,4,4,4,5,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152605,86,4,1055  VICTORIA PARK AVE ,5,,20,4,1962,2017
7580,4,10,112,4,4,4,03/07/2019,3,4,4,4,4,5,5,4,4,4,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152610,79,4,570  BIRCHMOUNT RD ,3,3,20,4,1969,2017
7581,5,13,103,4,4,3,03/07/2019,3,4,4,4,5,5,4,4,4,3,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152611,79,4,560  BIRCHMOUNT RD ,4,3,20,4,1972,2017
7582,,3,11,,3,4,11/20/2019,4,4,4,4,,5,4,4,3,3,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152618,76,4,19  ENGELHART CRES ,3,4,20,4,1956,2017
7583,,4,36,,4,3,11/21/2019,3,4,4,4,,5,4,4,4,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152626,79,5,10  CRAIGTON DR ,4,4,21,4,1955,2017
7584,4,14,345,4,3,3,02/06/2019,3,3,3,3,3,3,3,3,3,3,19,3,3,TCHC,Evaluation needs to be conducted in 1 year,4152842,64,4,4205  LAWRENCE AVE E,3,,25,4,1974,2017
7585,4,5,60,5,3,4,03/07/2019,4,4,3,4,4,5,4,4,4,4,19,,4,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4152843,81,5,228  GALLOWAY RD ,4,4,24,4,1994,2017
7586,5,20,332,5,4,5,12/10/2019,5,5,5,4,4,5,5,4,5,4,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152866,93,5,125  BAMBURGH CRCL ,5,,22,4,1978,2017
7587,4,5,27,4,5,5,12/10/2019,5,4,3,5,3,5,3,4,4,5,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152868,87,5,2241  BIRCHMOUNT RD ,5,,22,5,1974,2017
7588,2,4,37,2,4,4,01/24/2019,4,3,5,4,4,5,3,3,4,3,18,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4152871,70,3,3747  SHEPPARD AVE E,3,,22,5,1969,2018
7589,2,15,197,5,4,5,11/27/2019,5,3,5,3,5,5,5,4,5,5,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152880,87,5,50  CARABOB CRT ,5,4,22,5,1974,2017
7590,4,18,265,5,5,5,01/11/2019,3,4,4,3,3,5,4,5,5,4,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154718,85,5,6000  YONGE ST ,5,5,18,4,1963,2017
7591,5,7,83,4,5,5,11/18/2019,4,4,5,4,,5,4,4,5,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154728,88,5,6210  YONGE ST ,4,,18,4,1968,2017
7592,4,4,49,5,5,5,10/28/2019,5,5,4,4,5,5,4,5,5,4,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154734,91,4,37  LORD SEATON RD ,5,4,15,5,1963,2017
7593,5,4,25,2,3,4,03/07/2019,4,3,4,4,,5,2,4,3,4,18,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155227,71,4,301  PARK LAWN RD ,4,4,3,3,1957,2017
7594,5,4,26,,4,4,03/06/2019,4,4,4,4,,5,5,3,3,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155237,80,5,8  NEWHOLM RD ,3,4,3,3,1958,2017
7595,5,4,26,4,4,4,10/30/2019,4,4,4,4,,5,5,4,5,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155249,85,4,135  STEPHEN DR ,4,,3,4,1959,2017
7596,4,5,31,,4,4,01/22/2019,3,4,4,4,,5,5,5,3,4,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155250,78,4,143  STEPHEN DR ,4,3,3,3,1955,2017
7597,3,4,24,,4,4,03/04/2019,3,4,4,5,,5,4,5,5,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155251,84,5,159  STEPHEN DR ,4,4,3,4,1960,2017
7598,5,6,62,3,3,4,02/04/2019,3,4,3,4,,5,4,4,3,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155259,74,4,3  CROWN HILL PL ,3,4,3,3,1960,2017
7599,4,11,194,4,4,3,10/28/2019,3,3,3,3,1,2,4,2,4,3,19,3,3,TCHC,Evaluation needs to be conducted in 1 year,4156208,62,4,121  KENDLETON DR ,2,,1,4,1965,2017
7600,4,3,108,,4,4,03/20/2019,4,4,4,5,,5,4,4,4,3,17,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152889,80,4,95-115  GENERATION BLVD ,4,,25,4,1975,2017
7601,4,4,81,5,4,3,10/31/2019,3,3,3,3,,5,3,4,3,3,18,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4152899,70,4,99  COE HILL DR ,4,4,4,3,1957,2017
7602,3,12,108,3,4,4,03/05/2019,3,3,3,4,4,5,4,3,3,4,19,,5,PRIVATE,Evaluation needs to be conducted in 2 years,4153793,74,5,485  EGLINTON AVE E,3,3,15,4,1965,2017
7603,3,20,129,3,3,4,03/04/2019,3,3,3,3,4,4,3,3,3,4,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153800,68,5,101  ROEHAMPTON AVE ,3,3,12,4,1973,2017
7604,5,4,35,,4,4,01/16/2019,3,4,4,4,,5,4,5,4,4,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155272,80,4,34  RIVERWOOD PKWY ,3,,3,3,1955,2017
7605,3,4,32,4,4,3,10/30/2019,2,3,4,3,,5,3,3,3,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155282,67,5,172  BERRY RD ,3,,3,3,1954,
7606,4,3,19,,3,3,01/05/2018,4,3,3,4,,5,4,3,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155283,69,3,10  KINGS POINT DR ,3,,3,4,1958,2017
7607,5,5,48,4,5,4,12/09/2019,4,4,5,4,,5,4,4,5,4,18,,5,PRIVATE,Evaluation needs to be conducted in 3 years,4155288,88,3,186  STEPHEN DR ,5,4,3,5,1960,2017
7608,4,4,48,3,4,3,10/30/2019,3,4,4,3,,5,3,4,3,3,18,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155296,72,5,2649  BLOOR ST W,4,3,3,5,1952,2017
7609,4,13,184,3,3,4,10/29/2019,4,3,3,3,3,5,4,4,4,3,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155298,71,4,90  CORDOVA AVE ,3,4,3,3,1977,2017
7610,5,12,101,5,5,5,11/04/2019,5,5,4,4,5,5,5,5,5,5,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156233,95,5,10  ROANOKE RD ,5,4,16,5,1962,2017
7611,3,7,150,4,4,4,11/25/2019,4,4,4,3,4,3,4,4,4,4,18,,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153338,78,5,11  WINONA DR ,4,,12,4,1987,2017
7612,5,10,185,4,5,4,10/28/2019,3,3,3,2,2,5,5,5,5,3,19,4,3,TCHC,Evaluation needs to be conducted in 2 years,4153807,78,5,801  MOUNT PLEASANT RD ,3,,15,5,1983,2017
7613,4,6,65,5,4,5,10/30/2019,3,4,4,4,3,5,3,4,4,3,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153813,78,5,412  EGLINTON AVE E,4,3,15,3,1957,2017
7614,4,13,149,4,4,5,10/30/2019,4,4,5,4,4,5,5,5,4,5,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153814,88,5,368  EGLINTON AVE E,4,4,15,5,1969,2017
7615,3,4,71,3,3,3,12/02/2019,3,4,4,3,,5,4,3,3,3,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153817,70,5,117  BROADWAY AVE ,3,3,12,4,1954,2017
7616,3,4,60,3,4,4,12/02/2019,3,4,4,3,,5,3,3,3,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153818,71,5,127  BROADWAY AVE ,4,3,12,4,1950,2017
7617,3,16,188,4,4,5,10/29/2019,4,5,4,4,4,5,3,4,3,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153830,81,4,55  ERSKINE AVE ,4,5,15,4,1964,2017
7618,5,4,37,5,3,5,10/29/2019,4,3,3,3,,3,3,3,3,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153831,78,5,77  ERSKINE AVE ,4,5,15,5,1956,2017
7619,4,10,47,4,4,3,10/29/2019,3,3,4,4,,5,4,3,4,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153843,76,5,100  BROADWAY AVE ,4,4,15,4,1965,2017
7620,5,12,235,5,5,5,11/06/2019,4,5,5,4,5,5,5,5,4,5,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155675,94,5,4005  BAYVIEW AVE ,5,4,17,4,1971,2017
7621,3,4,57,5,3,3,11/07/2019,3,4,3,3,3,5,4,3,4,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155677,70,4,39  BROOKWELL DR ,3,,6,4,1965,2017
7622,,3,22,4,4,3,12/14/2018,3,4,3,4,,5,3,4,5,3,17,4,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155681,75,5,900  QUEEN ST W,4,,10,3,1996,2017
7623,3,4,97,4,4,4,11/19/2019,4,4,4,3,4,5,4,4,4,4,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155683,79,4,3330  WESTON RD ,4,4,7,4,1960,2017
7624,4,8,47,4,3,4,11/27/2019,4,4,4,3,,5,4,4,3,3,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153356,77,5,425  AVENUE RD ,3,4,12,4,1965,2017
7625,5,4,52,4,5,5,10/30/2019,4,5,5,4,,4,5,4,4,3,18,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153846,83,4,135  KEEWATIN AVE ,4,3,15,4,1958,2017
7626,5,23,250,5,5,5,10/29/2019,5,5,4,4,4,5,5,5,4,5,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153849,94,5,160  ERSKINE AVE ,5,5,15,4,1969,2017
7627,5,4,74,4,5,4,10/28/2019,4,4,4,4,,5,4,4,3,4,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153870,82,4,56  RANLEIGH AVE ,4,5,15,3,1959,2017
7628,,3,11,,3,2,11/19/2019,3,4,4,3,,5,3,2,4,5,15,,5,PRIVATE,Evaluation needs to be conducted in 2 years,4154366,69,3,829  WILSON AVE ,3,,6,3,1953,2017
7629,5,18,138,5,3,5,10/28/2019,5,3,3,4,5,5,5,4,3,5,19,4,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154742,86,5,745  YORK MILLS RD ,5,,15,5,1972,2017
7630,4,29,366,4,5,5,11/18/2019,4,4,4,4,4,5,4,3,4,4,18,,,PRIVATE,Evaluation needs to be conducted in 3 years,4154749,82,4,2  FOREST LANEWAY  ,4,4,18,4,1976,2017
7631,3,4,16,4,4,5,10/12/2017,4,4,5,4,4,5,4,5,5,4,20,5,5,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4154751,87,5,422  WILLOWDALE AVE ,5,3,18,4,1992,2017
7632,,3,15,,4,4,11/27/2019,4,4,4,4,,5,3,4,3,3,15,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4156287,76,5,2  CONNAUGHT CRCL ,4,,12,4,1930,2017
7633,4,10,153,4,4,4,11/19/2019,5,5,5,5,4,5,4,4,4,4,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4167765,86,4,550  BIRCHMOUNT RD ,4,,20,4,2011,2017
7634,3,5,15,4,3,3,01/04/2018,4,4,4,4,3,3,4,4,3,4,19,,4,TCHC,Evaluation needs to be conducted in 2 years,4167772,73,4,49  HENRY LANE TER ,3,4,10,4,1980,2017
7635,,3,11,,4,3,02/15/2019,4,4,3,3,,5,4,4,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4167788,69,2,25  GLEN EVEREST RD ,3,3,20,3,1971,2017
7636,4,10,232,4,5,5,11/25/2019,5,4,5,4,4,5,5,4,5,,19,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4153377,91,4,50  PORTLAND ST ,4,4,10,5,2005,2017
7637,4,8,60,5,4,4,11/26/2019,3,4,4,3,5,5,4,5,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153394,83,5,90  ADELAIDE ST E,5,,13,3,1980,2017
7638,4,8,50,4,4,4,01/05/2018,4,4,3,3,3,5,4,3,4,4,18,4,,TCHC,Evaluation needs to be conducted in 2 years,4153396,76,3,60  RICHMOND ST E,4,,13,4,1990,2017
7639,,4,26,4,4,4,11/25/2019,3,4,4,4,4,5,4,3,4,4,17,,4,TCHC,Evaluation needs to be conducted in 2 years,4153400,80,5,190  JOHN ST ,4,,10,4,1992,2017
7640,4,11,139,5,4,4,11/25/2019,4,4,4,4,4,2,3,4,4,4,19,3,2,TCHC,Evaluation needs to be conducted in 2 years,4153402,76,5,22  MC CAUL ST ,4,,10,4,1991,2017
7641,,3,17,,4,4,12/11/2019,3,4,4,3,,5,4,4,4,3,14,,,TCHC,Evaluation needs to be conducted in 2 years,4153404,76,5,11  SULLIVAN ST ,3,,10,3,1923,2017
7642,5,13,118,5,4,5,12/02/2019,5,4,5,4,5,5,5,5,5,5,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153887,95,5,484  AVENUE RD ,5,5,12,5,1957,2017
7643,5,6,56,4,4,3,11/27/2019,5,5,5,3,,5,3,3,3,4,18,,5,PRIVATE,Evaluation needs to be conducted in 3 years,4153892,82,5,1545  BATHURST ST ,3,4,12,5,1965,2017
7644,,4,31,4,3,4,11/28/2019,3,3,3,4,,5,4,3,3,3,16,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153895,74,4,404  SPADINA RD ,4,4,12,5,1931,2017
7645,,5,12,,3,3,03/18/2019,3,3,3,4,,5,3,3,3,4,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153907,68,5,321  LONSDALE RD ,3,,12,3,1920,2017
7646,,4,36,,4,4,03/14/2019,4,3,3,3,,5,3,3,3,3,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153912,69,4,8  MALLORY GDNS ,3,,12,4,1920,2017
7647,,3,20,,4,3,12/02/2019,3,3,4,4,,5,3,4,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153915,73,4,50  LAWTON BLVD ,3,4,12,4,1915,2017
7648,,3,13,,3,3,03/14/2019,4,3,3,3,,5,3,3,3,4,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153918,67,3,62  ORIOLE GDNS ,3,,12,4,1918,2017
7649,3,4,36,,4,4,11/18/2019,3,3,3,3,,5,5,4,4,3,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154395,76,5,1391  WILSON AVE ,4,4,6,4,1960,2017
7650,5,7,84,5,4,4,11/18/2019,4,4,4,4,4,5,4,4,4,4,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154396,82,5,1309  WILSON AVE ,4,3,6,3,1960,2017
7651,,3,12,,4,3,11/06/2019,4,3,4,4,,5,3,4,3,4,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154401,75,5,2217  JANE ST ,3,,6,4,1950,2017
7652,,5,68,4,4,4,10/24/2017,4,4,3,4,4,5,3,3,4,3,19,4,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154408,75,4,1206  WILSON AVE ,4,3,6,4,1996,2017
7653,4,11,118,4,4,4,11/18/2019,3,3,3,4,3,5,4,2,3,3,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154410,72,5,1130  WILSON AVE ,2,4,6,4,1965,2017
7654,,3,11,,3,3,01/07/2019,3,3,3,3,,3,3,3,3,3,15,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154414,60,3,2842  KEELE ST ,3,,6,3,1957,2017
7655,4,4,54,4,3,4,11/18/2019,4,4,4,3,,5,3,3,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154417,76,4,2808  KEELE ST ,3,4,6,4,1950,2017
7656,3,3,11,,4,4,11/18/2019,3,4,4,4,,3,4,5,4,4,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154421,78,4,2866  KEELE ST ,4,,6,4,1955,2017
7657,5,4,70,3,4,5,11/05/2019,4,4,4,4,5,5,4,4,5,5,20,5,4,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4154772,88,5,7  THE DONWAY  E,3,5,16,5,1989,2017
7658,3,4,40,4,3,4,02/07/2019,3,4,3,4,,5,4,4,3,3,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154779,74,5,1061  DON MILLS RD ,4,4,16,3,1960,2017
7659,4,7,69,4,4,4,11/04/2019,4,4,4,4,4,5,4,4,4,4,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154783,81,4,1001  LAWRENCE AVE E,4,4,16,4,1962,2017
7660,5,4,31,,3,4,01/15/2019,3,3,5,3,,4,2,4,4,3,17,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154801,68,4,868  LAWRENCE AVE E,2,3,16,4,1954,2018
7661,3,4,23,,5,4,01/09/2019,4,4,4,3,,5,3,4,2,3,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155315,73,5,8  ANGLESEY BLVD ,3,3,2,3,1960,2017
7662,,4,22,,4,4,03/05/2019,4,4,5,3,,5,5,4,4,3,15,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155336,81,4,3  ANGLESEY BLVD ,4,,2,4,1954,2017
7663,4,10,122,4,4,4,02/05/2019,4,3,4,3,,5,3,3,1,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155337,73,4,1137  ROYAL YORK RD ,4,,2,4,1963,2017
7664,4,19,365,4,4,5,10/29/2019,4,5,5,5,4,5,5,4,5,5,20,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155343,90,5,1  RICHVIEW RD ,4,4,2,4,1969,2017
7665,5,12,122,4,4,4,02/08/2019,4,4,4,3,4,3,5,3,3,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155739,75,4,30  SPRINGHURST AVE ,3,4,4,3,1965,2017
7666,,12,264,4,4,4,11/06/2019,4,4,4,3,3,4,3,4,5,3,19,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155742,77,4,333  SIDNEY BELSEY CRES ,4,3,5,5,2008,2017
7667,,4,16,,4,4,02/12/2018,4,4,4,4,,5,5,4,2,4,17,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155743,79,3,3015-3017  QUEEN ST E,4,4,20,4,1954,2017
7668,4,19,328,3,3,3,10/28/2019,3,3,3,3,3,3,3,3,3,3,18,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155927,61,3,10  WILLOWRIDGE RD ,3,,1,3,1971,2017
7669,3,29,159,4,3,4,01/07/2019,3,3,3,3,4,3,4,3,3,3,18,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4156314,66,4,11  CRESCENT PL ,4,,19,3,1971,2017
7670,5,4,56,5,4,4,11/06/2019,5,4,5,5,4,5,5,5,4,5,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156610,92,5,32  ST DENNIS DR ,4,,16,5,1964,2017
7671,3,14,175,5,4,5,11/27/2019,4,5,5,5,5,5,5,4,4,5,19,,5,PRIVATE,Evaluation needs to be conducted in 3 years,4156624,94,5,20  AURORA CRT ,5,5,22,5,1974,2017
